name,z_ref,T,p_dry,RH,g,H,f_h2,f_he,f_n2,f_o2,f_co2
Earth-like,surface,300.0,1.01325E+05,0.75,9.820E+00,8.969E+03,0,0.0,1,0.0,0
Earth,surface,290.0,1.01325E+05,0.75,9.820E+00,8.406E+03,0,0.0,0.8,0.2,0
early Mars,surface,290.0,2.000E+05,0.75,3.712E+00,1.452E+04,0,0.0,0,0.0,1
Jupiter,LCL,274.0,4.850E+05,1.0,2.484E+01,3.975E+04,0.864,0.136,0,0.0,0
Saturn,LCL,284.0,1.040E+06,1.0,1.047E+01,9.922E+04,0.88,0.12,0,0.0,0
K2-18b,LCL,275.0,1.000E+04,1.0,1.244E+01,5.662E+04,0.9,0.1,0,0.0,0
composition-h2,LCL,275.0,7.500E+04,1.0,9.820E+00,1.076E+05,1,0.0,0,0.0,0
composition-he,LCL,275.0,7.500E+04,1.0,9.820E+00,5.635E+04,0,1.0,0,0.0,0
composition-n2,LCL,275.0,7.500E+04,1.0,9.820E+00,8.339E+03,0,0.0,1,0.0,0
composition-o2,LCL,275.0,7.500E+04,1.0,9.820E+00,7.306E+03,0,0.0,0,1.0,0
composition-co2,LCL,275.0,7.500E+04,1.0,9.820E+00,5.320E+03,0,0.0,0,0.0,1
broad-min,LCL,275.0,5.000E+03,1.0,2,2.090E+03,-,0.0,-,0.0,-
broad-max,LCL,400.0,1.000E+07,1.0,25,5.284E+05,-,0.0,-,0.0,-
