atm gas,effect,t_evap [s],z_evap [m],z_evap [H]
H2,all,769.3242966996953,6969.316981915065,0.06475680701304724
H2,H,2610.2986305656095,7975.195204015746,0.07410312632614902
H2,v,434.76179382649286,3958.7027401570504,0.03678308075692224
H2,transport,333.4585474453382,1003.8193364512158,0.009327188764009174
He,all,637.8233178832725,3560.022244412294,0.06317423757330154
He,H,1566.9747195165255,4619.889474539115,0.08198207066964848
He,v,622.9389928186828,3481.1807923199603,0.061775159622897494
He,transport,329.414096874041,990.6441939552885,0.017579438375075307
N2,all,706.7357364212985,2089.5162607754737,0.25056336838129906
O2,all,700.9202161805187,1896.8771043003521,0.2596246696857228
O2,H,674.8489004447227,1924.4017172199042,0.26339195040267877
O2,v,771.4143675966542,2004.466289088842,0.27435035038435224
O2,transport,704.7967307284601,2085.1601345189806,0.285394878739919
CO2,all,768.9568063116137,1962.976319565739,0.36900450907139826
CO2,H,655.2548339106013,1869.6597000638071,0.35146265030097223
CO2,v,726.3961858102681,1752.7044665906044,0.3294771540517575
CO2,transport,854.7691168858358,2514.866895619368,0.4727500861565325
